Date	Open	High	Low	Close	Aclose	Volume
Aug 14, 2019	203.16	206.44	202.59	202.75	201.66	36,547,400
Aug 13, 2019	201.02	212.14	200.48	208.97	207.85	47,218,500
Aug 12, 2019	199.62	202.05	199.15	200.48	199.41	22,474,900
Aug 09, 2019	201.30	202.76	199.29	200.99	199.91	24,619,700
Aug 08, 2019	200.20	203.53	199.39	203.43	201.57	27,009,500
Aug 07, 2019	195.41	199.56	193.82	199.04	197.23	33,364,400
Aug 06, 2019	196.31	198.07	194.04	197.00	195.20	35,824,800
Aug 05, 2019	197.99	198.65	192.58	193.34	191.58	52,393,000
Aug 02, 2019	205.53	206.43	201.63	204.02	202.16	40,862,100
Aug 01, 2019	213.90	218.03	206.74	208.43	206.53	54,017,900
Jul 31, 2019	216.42	221.37	211.30	213.04	211.10	69,281,400
Jul 30, 2019	208.76	210.16	207.31	208.78	206.88	33,935,700
Jul 29, 2019	208.46	210.64	208.44	209.68	207.77	21,673,400
Jul 26, 2019	207.48	209.73	207.14	207.74	205.85	17,618,900
Jul 25, 2019	208.89	209.24	206.73	207.02	205.13	13,909,600
Jul 24, 2019	207.67	209.15	207.17	208.67	206.77	14,991,600
Jul 23, 2019	208.46	208.91	207.29	208.84	206.94	18,355,200
Jul 22, 2019	203.65	207.23	203.61	207.22	205.33	22,277,900
Jul 19, 2019	205.79	206.50	202.36	202.59	200.74	20,929,300
Jul 18, 2019	204.00	205.88	203.70	205.66	203.78	18,582,200
Jul 17, 2019	204.05	205.09	203.27	203.35	201.50	14,107,500
Jul 16, 2019	204.59	206.11	203.50	204.50	202.64	16,866,800
Jul 15, 2019	204.09	205.87	204.00	205.21	203.34	16,947,400
Jul 12, 2019	202.45	204.00	202.20	203.30	201.45	17,595,200
Jul 09, 2019	199.20	201.51	198.81	201.24	199.40	20,578,000
Jul 08, 2019	200.81	201.40	198.41	200.02	198.20	25,338,600
Jul 05, 2019	203.35	205.08	202.90	204.23	202.37	17,265,500
Jul 03, 2019	203.28	204.44	202.69	204.41	202.55	11,362,000
Jul 02, 2019	201.41	203.13	201.36	202.73	200.88	16,935,200
Jul 01, 2019	203.17	204.49	200.65	201.55	199.71	27,316,700
Jun 28, 2019	198.68	199.50	197.05	197.92	196.12	31,110,600
Jun 27, 2019	200.29	201.57	199.57	199.74	197.92	20,899,700
Jun 26, 2019	197.77	200.99	197.35	199.80	197.98	26,067,500
Jun 25, 2019	198.43	199.26	195.29	195.57	193.79	21,070,300
Jun 24, 2019	198.54	200.16	198.17	198.58	196.77	18,220,400
Jun 21, 2019	198.80	200.85	198.15	198.78	196.97	47,800,600
Jun 20, 2019	200.37	200.61	198.03	199.46	197.64	21,514,000
Jun 19, 2019	199.68	199.88	197.31	197.87	196.07	21,124,200
Jun 18, 2019	196.05	200.29	195.21	198.45	196.64	26,551,000
Jun 17, 2019	192.90	194.96	192.17	193.89	192.12	14,669,100
Jun 14, 2019	191.55	193.59	190.30	192.74	190.98	18,761,500
Jun 13, 2019	194.70	196.79	193.60	194.15	192.38	21,674,600
Jun 12, 2019	193.95	195.97	193.39	194.19	192.42	18,221,800
Jun 11, 2019	194.86	196.00	193.60	194.81	193.03	26,932,900
