Date	Open	High	Low	Close	Aclose	Volume
Mar 29, 2019	278.70	280.16	274.50	279.86	279.86	5,991,300
Mar 28, 2019	277.16	280.33	275.10	278.62	278.62	6,774,100
Mar 27, 2019	268.75	275.37	268.18	274.83	274.83	8,779,200
Mar 26, 2019	264.44	270.26	264.43	267.77	267.77	7,350,900
Mar 25, 2019	259.71	263.18	254.46	260.42	260.42	10,215,000
Mar 22, 2019	272.58	272.80	264.00	264.53	264.53	8,745,600
Mar 21, 2019	272.60	276.45	268.45	274.02	274.02	5,947,100
Mar 20, 2019	269.69	274.97	266.30	273.60	273.60	6,908,200
Mar 19, 2019	267.50	273.30	263.46	267.47	267.47	11,800,600
Mar 18, 2019	276.00	278.05	267.30	269.49	269.49	10,281,000
Mar 15, 2019	283.51	283.72	274.40	275.43	275.43	14,785,500
Mar 14, 2019	292.45	295.39	288.29	289.96	289.96	7,103,400
Mar 13, 2019	283.90	291.99	282.70	288.96	288.96	6,844,700
Mar 12, 2019	286.49	288.07	281.06	283.36	283.36	7,504,100
Mar 11, 2019	283.52	291.28	280.50	290.92	290.92	7,392,300
Mar 08, 2019	276.91	285.59	275.89	284.14	284.14	8,819,600
Mar 07, 2019	278.84	284.70	274.25	276.59	276.59	9,442,500
Mar 06, 2019	276.48	281.51	274.39	276.24	276.24	10,335,500
Mar 05, 2019	282.00	284.00	270.10	276.54	276.54	18,764,700
Mar 04, 2019	298.12	299.00	282.78	285.36	285.36	17,096,800
Mar 01, 2019	306.94	307.13	291.90	294.79	294.79	22,911,400
Feb 28, 2019	318.92	320.00	310.81	319.88	319.88	10,520,700
Feb 27, 2019	301.78	316.30	300.55	314.74	314.74	11,183,900
Feb 26, 2019	292.22	302.01	288.77	297.86	297.86	8,582,500
Feb 25, 2019	297.91	302.90	297.00	298.77	298.77	6,626,500
Feb 22, 2019	294.49	296.50	292.10	294.71	294.71	5,740,600
Feb 21, 2019	301.81	303.24	290.50	291.23	291.23	8,909,200
Feb 20, 2019	304.41	306.30	299.00	302.56	302.56	7,142,100
